date,symbol,total,technical,fundamental,supply_demand,market,valuation,dividend
2026-07-08,3048.T,53,3,11,0,-5,-6,0
2026-07-08,8306.T,51,20,-1,0,-5,-13,0
2026-07-08,5802.T,51,-20,18,0,-5,8,0
2026-07-08,4188.T,51,20,-1,0,-5,-13,0
2026-07-08,8058.T,48,-11,11,0,-5,3,0
2026-07-08,3741.T,37,-20,12,0,-5,0,0
2026-07-09,9202.T,83,20,18,0,-5,0,0
2026-07-09,3231.T,57,13,18,0,-5,3,3
2026-07-09,7011.T,69,18,11,0,-5,7,0
2026-07-09,9432.T,57,20,11,0,-5,0,3
2026-07-09,1928.T,78,9,18,0,-5,0,6
2026-07-09,7164.T,78,9,18,0,-5,3,3
2026-07-09,8425.T,74,18,8,0,-5,0,3
2026-07-09,4307.T,57,20,7,0,-5,2,0
2026-07-09,8303.T,71,20,8,0,-5,-2,0
2026-07-09,4519.T,71,2,17,0,-5,7,0
2026-07-09,5401.T,70,10,10,0,-5,2,3
2026-07-09,3003.T,61,6,7,0,-5,0,3
2026-07-09,8473.T,58,-3,6,0,-5,7,3
2026-07-09,5805.T,57,-14,18,0,-5,8,0
2026-07-09,2802.T,57,8,15,0,-5,-11,0
2026-07-09,8252.T,57,9,-3,0,-5,3,3
2026-07-09,1605.T,56,5,0,0,-5,3,3
2026-07-09,8593.T,53,14,-3,0,-5,-6,3
2026-07-09,3048.T,53,3,11,0,-5,-6,0
2026-07-09,8306.T,51,20,-1,0,-5,-13,0
2026-07-09,5802.T,51,-20,18,0,-5,8,0
2026-07-09,4188.T,51,20,-1,0,-5,-13,0
2026-07-09,8058.T,48,-11,11,0,-5,3,0
2026-07-09,3741.T,37,-20,12,0,-5,0,0
2026-07-09,3231.T,57,18,18,0,-5,3,3
2026-07-09,7011.T,69,20,11,0,-5,7,0
2026-07-09,7164.T,80,17,18,0,-5,3,3
2026-07-09,1928.T,78,9,18,0,-5,0,6
2026-07-09,8425.T,76,20,8,0,-5,0,3
2026-07-09,9432.T,75,17,11,0,-5,-1,3
2026-07-09,9202.T,74,11,18,0,-5,0,0
2026-07-09,3003.T,72,17,7,0,-5,0,3
2026-07-09,8303.T,71,20,8,0,-5,-2,0
2026-07-09,4307.T,57,17,7,0,-5,2,0
2026-07-09,5401.T,70,10,10,0,-5,2,3
2026-07-09,1605.T,63,12,0,0,-5,3,3
2026-07-09,2802.T,60,11,15,0,-5,-11,0
2026-07-09,8593.T,59,20,-3,0,-5,-6,3
2026-07-09,4519.T,59,-10,17,0,-5,7,0
2026-07-09,8473.T,58,-3,6,0,-5,7,3
2026-07-09,8252.T,57,9,-3,0,-5,3,3
2026-07-09,5805.T,54,-17,18,0,-5,8,0
2026-07-09,8306.T,51,20,-1,0,-5,-13,0
2026-07-09,5802.T,51,-20,18,0,-5,8,0
2026-07-09,4188.T,51,20,-1,0,-5,-13,0
2026-07-09,8058.T,48,-11,11,0,-5,3,0
2026-07-09,3048.T,39,-11,11,0,-5,-6,0
2026-07-09,3741.T,37,-20,12,0,-5,0,0
2026-07-10,1928.T,88,9,18,0,5,0,6
2026-07-10,8425.T,86,20,8,0,5,0,3
2026-07-10,9432.T,85,17,11,0,5,-1,3
2026-07-10,9202.T,84,11,18,0,5,0,0
2026-07-10,3003.T,82,17,7,0,5,0,3
2026-07-10,8303.T,57,20,8,0,5,-2,0
2026-07-10,3231.T,81,2,18,0,5,3,3
2026-07-10,4307.T,81,17,7,0,5,2,0
2026-07-10,7011.T,69,20,11,0,5,7,0
2026-07-10,5401.T,80,10,10,0,5,2,3
2026-07-10,7164.T,80,17,18,0,5,3,3
2026-07-10,2802.T,69,11,15,0,5,-11,0
2026-07-10,8593.T,69,20,-3,0,5,-6,3
2026-07-10,4519.T,69,-10,17,0,5,7,0
2026-07-10,8473.T,68,-3,6,0,5,7,3
2026-07-10,8252.T,67,9,-3,0,5,3,3
2026-07-10,1605.T,64,-4,7,0,5,3,3
2026-07-10,5805.T,64,-17,18,0,5,8,0
2026-07-10,8306.T,63,20,-1,0,5,-11,0
2026-07-10,5802.T,61,-20,18,0,5,8,0
2026-07-10,4188.T,61,20,-1,0,5,-13,0
2026-07-10,8058.T,58,-11,11,0,5,3,0
2026-07-10,3048.T,49,-11,11,0,5,-6,0
2026-07-10,3741.T,47,-20,12,0,5,0,0
2026-07-10,8473.T,87,16,6,0,5,7,3
2026-07-10,1928.T,86,5,18,0,5,2,6
2026-07-10,8303.T,81,20,8,0,5,-2,0
2026-07-10,4307.T,81,17,7,0,5,2,0
2026-07-10,7011.T,69,20,11,0,5,7,0
2026-07-10,8425.T,57,13,8,0,5,0,3
2026-07-10,3003.T,78,13,7,0,5,0,3
2026-07-10,9432.T,78,10,11,0,5,-1,3
2026-07-10,9202.T,78,5,18,0,5,0,0
2026-07-10,4519.T,77,-2,17,0,5,7,0
2026-07-10,7164.T,77,-2,18,0,5,3,3
2026-07-10,8252.T,69,17,-3,0,5,3,3
2026-07-10,2802.T,69,11,15,0,5,-11,0
2026-07-10,3231.T,69,-10,18,0,5,3,3
2026-07-10,1605.T,65,-3,7,0,5,3,3
2026-07-10,5401.T,64,-6,10,0,5,2,3
2026-07-10,8306.T,63,20,-1,0,5,-11,0
2026-07-10,8593.T,62,13,-3,0,5,-6,3
2026-07-10,8058.T,62,-7,11,0,5,3,0
2026-07-10,5805.T,61,-20,18,0,5,8,0
2026-07-10,5802.T,61,-20,18,0,5,8,0
2026-07-10,4188.T,61,20,-1,0,5,-13,0
2026-07-10,3741.T,49,-18,12,0,5,0,0
2026-07-10,3048.T,49,-11,11,0,5,-6,0
2026-07-10,8473.T,87,16,6,0,5,7,3
2026-07-10,1928.T,86,5,18,0,5,2,6
2026-07-10,8303.T,81,20,8,0,5,-2,0
2026-07-10,4307.T,81,17,7,0,5,2,0
2026-07-10,7011.T,69,20,11,0,5,7,0
2026-07-10,8425.T,57,13,8,0,5,0,3
2026-07-10,3003.T,78,13,7,0,5,0,3
2026-07-10,9432.T,78,10,11,0,5,-1,3
2026-07-10,9202.T,78,5,18,0,5,0,0
2026-07-10,4519.T,77,-2,17,0,5,7,0
2026-07-10,7164.T,77,-2,18,0,5,3,3
2026-07-10,8252.T,69,17,-3,0,5,3,3
2026-07-10,2802.T,69,11,15,0,5,-11,0
2026-07-10,3231.T,69,-10,18,0,5,3,3
2026-07-10,1605.T,65,-3,7,0,5,3,3
2026-07-10,5401.T,64,-6,10,0,5,2,3
2026-07-10,8306.T,63,20,-1,0,5,-11,0
2026-07-10,8593.T,62,13,-3,0,5,-6,3
2026-07-10,8058.T,62,-7,11,0,5,3,0
2026-07-10,5805.T,61,-20,18,0,5,8,0
2026-07-10,5802.T,61,-20,18,0,5,8,0
2026-07-10,4188.T,61,20,-1,0,5,-13,0
2026-07-10,3048.T,49,-11,11,0,5,-6,0
2026-07-10,3741.T,47,-20,12,0,5,0,0
2026-07-13,1928.T,57,6,18,0,5,2,6
2026-07-13,9202.T,84,11,18,0,5,0,0
2026-07-13,8425.T,57,17,8,0,5,0,3
2026-07-13,4307.T,57,18,7,0,5,2,0
2026-07-13,1605.T,81,20,0,0,5,3,3
2026-07-13,5401.T,81,10,10,0,5,3,3
2026-07-13,8473.T,79,8,6,0,5,7,3
2026-07-13,9432.T,78,10,11,0,5,-1,3
2026-07-13,7164.T,77,-2,18,0,5,3,3
2026-07-13,8303.T,75,14,8,0,5,-2,0
2026-07-13,7011.T,71,-2,11,0,5,7,0
2026-07-13,3003.T,70,5,7,0,5,0,3
2026-07-13,3231.T,69,-10,18,0,5,3,3
2026-07-13,2802.T,67,8,15,0,5,-11,0
2026-07-13,8252.T,67,9,-3,0,5,3,3
2026-07-13,8306.T,63,20,-1,0,5,-11,0
2026-07-13,5805.T,61,-20,18,0,5,8,0
2026-07-13,5802.T,61,-20,18,0,5,8,0
2026-07-13,4188.T,60,19,-1,0,5,-13,0
2026-07-13,4519.T,59,-20,17,0,5,7,0
2026-07-13,8593.T,54,5,-3,0,5,-6,3
2026-07-13,8058.T,54,-15,11,0,5,3,0
2026-07-13,3741.T,53,-20,18,0,5,0,0
2026-07-13,3048.T,52,-7,11,0,5,-7,0
2026-07-14,1928.T,57,9,18,0,-5,0,6
2026-07-14,3231.T,57,6,18,0,-5,3,3
2026-07-14,5401.T,74,13,10,0,-5,3,3
2026-07-14,4307.T,57,20,7,0,-5,2,0
2026-07-14,9202.T,74,11,18,0,-5,0,0
2026-07-14,8473.T,73,12,6,0,-5,7,3
2026-07-14,9432.T,57,13,11,0,-5,0,3
2026-07-14,1605.T,57,20,0,0,-5,3,3
2026-07-14,8303.T,68,17,8,0,-5,-2,0
2026-07-14,7164.T,67,-2,18,0,-5,3,3
2026-07-14,5802.T,63,-8,18,0,-5,8,0
2026-07-14,8425.T,61,5,8,0,-5,0,3
2026-07-14,7011.T,61,-2,11,0,-5,7,0
2026-07-14,3003.T,60,5,7,0,-5,0,3
2026-07-14,8252.T,57,9,-3,0,-5,3,3
2026-07-14,8058.T,55,-4,11,0,-5,3,0
2026-07-14,2802.T,53,4,15,0,-5,-11,0
2026-07-14,5805.T,51,-20,18,0,-5,8,0
2026-07-14,8306.T,51,20,-1,0,-5,-13,0
2026-07-14,4519.T,49,-20,17,0,-5,7,0
2026-07-14,3741.T,43,-20,18,0,-5,0,0
2026-07-14,4188.T,43,14,-1,0,-5,-15,0
2026-07-14,8593.T,41,9,-3,0,-5,-13,3
2026-07-14,3048.T,35,-15,11,0,-5,-6,0
2026-07-15,7164.T,80,14,18,0,-5,3,3
2026-07-15,3231.T,79,10,18,0,-5,3,3
2026-07-15,5401.T,78,17,10,0,-5,3,3
2026-07-15,4307.T,75,18,7,0,-5,5,0
2026-07-15,1928.T,57,5,18,0,-5,0,6
2026-07-15,8473.T,74,13,6,0,-5,7,3
2026-07-15,7011.T,69,10,11,0,-5,7,0
2026-07-15,9432.T,57,13,11,0,-5,0,3
2026-07-15,1605.T,57,20,0,0,-5,3,3
2026-07-15,8303.T,68,17,8,0,-5,-2,0
2026-07-15,8425.T,65,9,8,0,-5,0,3
2026-07-15,3003.T,64,9,7,0,-5,0,3
2026-07-15,8058.T,64,8,11,0,-5,0,0
2026-07-15,5805.T,61,-10,18,0,-5,8,0
2026-07-15,9202.T,58,-5,18,0,-5,0,0
2026-07-15,4519.T,57,-12,17,0,-5,7,0
2026-07-15,8252.T,57,9,-3,0,-5,3,3
2026-07-15,5802.T,55,-16,18,0,-5,8,0
